pitcher,p_whip,cf_score,p_throws
687798,0.33333334,0.0,R
686463,0.2,0.0,R
690921,0.0,0.0,R
694855,0.0,0.0,L
702111,1.3,0.0,R
689821,0.84444445,0.0,R
693725,0.0,0.0,R
666151,0.4,0.0,R
686643,0.67058825,0.0,R
696146,0.5911111,0.0,L
683988,0.95,0.0,R
682769,0.49565217,0.0,R
676249,0.0,0.0,R
656354,0.285,0.0,L
814716,1.3,0.0,R
622338,0.38,0.0,R
656818,0.56136364,0.0,R
686700,1.3,0.0,R
701549,0.42222223,0.0,L
687817,0.5181818,0.0,R
702103,0.21111111,0.0,R
670109,0.2923077,0.0,R
689337,0.6,0.0,R
696505,0.0,0.0,R
701213,1.3,0.0,R
690593,1.3,0.0,R
695308,0.16521738,0.0,R
813636,0.36190477,0.0,R
823996,0.456,0.0,L
801802,0.0,0.0,R
516853,0.11176471,0.0,R
679712,0.44705883,0.0,L
701288,0.3392857,0.0,R
687985,0.76,0.0,R
683085,0.0,0.0,R
695071,0.475,0.0,R
656726,0.3653846,0.0,R
687145,0.45529953,0.0,L
679928,1.3,0.0,R
690294,0.0,0.0,L
657510,0.33043477,0.0,R
828353,0.26206896,0.0,R
815066,0.0,0.0,R
688540,0.38,0.0,L
700375,1.3,0.0,R
662914,0.0,0.0,R
668831,0.18095239,0.0,R
808865,0.0,0.0,R
519043,0.27353266,0.0,L
685001,0.38,0.0,L
669735,0.6909091,0.0,R
701328,0.21509434,0.0,L
815318,1.52,0.0,R
700675,0.0,0.0,R
682999,0.0,0.0,R
694674,0.0,0.0,R
681145,1.0510638,0.0,R
660261,0.31877497,0.0,R
692064,0.7916667,0.0,R
684483,0.2923077,0.0,L
814388,0.76,0.0,R
683094,0.18095239,0.0,R
806585,0.0,0.0,R
691669,0.0,0.0,R
682840,0.0,0.0,L
679702,0.21111111,0.0,R
683510,0.6333333,0.0,R
670389,0.0,0.0,R
680891,0.43846154,0.0,R
666121,0.0,0.0,R
827744,1.3,0.0,R
677334,0.0,0.0,L
702878,0.50666666,0.0,R
678493,0.0,0.0,R
678868,0.7125,0.0,R
681004,0.42222223,0.0,R
671345,0.28917074,0.0,R
681739,0.0,0.0,R
702460,0.0,0.0,R
685045,0.0,0.0,R
572383,0.25333333,0.0,L
700794,1.0857143,0.0,R
811310,1.3,0.0,R
672277,0.38,0.0,R
814527,0.38,0.0,R
814291,0.0,0.0,R
689233,1.3,0.0,R
801619,0.0,0.0,R
687916,0.0,0.0,R
605155,0.31892857,0.0,R
687198,0.76,0.0,R
669188,0.0,0.0,R
813882,0.0,0.0,R
681415,0.31666666,0.0,L
701151,0.41304347,0.0,L
694900,0.26206896,0.0,R
694496,0.31666666,0.0,R
814098,0.0,0.0,R
656232,0.34686384,0.0,R
673394,0.0,0.0,L
670032,0.5541667,0.0,R
677976,0.30645162,0.0,R
650489,0.4,0.0,R
646242,0.4392473,0.0,L
671162,0.40923077,0.0,L
678316,0.13571429,0.0,L
670766,0.33841202,0.0,R
493603,0.26616186,0.0,R
642520,0.34650457,0.0,R
657006,0.28667736,0.0,L
690829,0.30330673,0.0,R
675540,0.30683228,0.0,R
622379,0.44705883,0.0,R
622780,0.2614679,0.0,L
687847,0.4275,0.0,R
605507,0.25333333,0.0,R
663474,0.34159574,0.0,R
640462,0.25643188,0.0,L
606930,0.305835,0.0,R
686730,0.32924846,0.0,R
687287,0.2923077,0.0,L
596142,0.6333333,0.0,R
691094,0.34102565,0.0,R
547001,0.32088888,0.0,R
686249,0.25333333,0.0,R
666120,0.40491804,0.0,R
600917,0.26807493,0.0,R
670174,0.32218802,0.0,R
621345,0.26108426,0.0,L
664849,0.25875485,0.0,L
686753,0.3423858,0.0,R
687362,0.3439416,0.0,R
642708,0.9851852,0.0,R
669717,0.6333333,0.0,R
628317,0.29311034,0.0,R
680729,0.41304347,0.0,L
571466,0.84444445,0.0,R
682171,0.3070707,0.0,R
657053,0.32941735,0.0,R
623465,0.2319879,0.0,R
669713,0.28585148,0.0,R
668716,0.3906542,0.0,R
676701,0.57575756,0.0,R
676070,0.0,0.0,R
676680,0.25270158,0.0,L
607732,0.49719626,0.0,R
660844,0.54285717,0.0,R
594902,0.30529773,0.0,R
656557,0.31654865,0.0,R
656420,0.39261994,0.0,R
554431,0.44075236,0.0,L
640902,0.53023255,0.0,R
502043,0.3272786,0.0,R
669854,0.268029,0.0,R
700187,0.30723405,0.0,R
621512,0.0,0.0,R
596271,0.33866316,0.0,R
642180,0.67058825,0.0,R
679922,0.54285717,0.0,R
674944,0.24782608,0.0,L
657240,0.31784764,0.0,R
647351,1.6888889,0.0,R
656896,0.54285717,0.0,R
676272,0.29934356,0.0,R
683021,0.18095239,0.0,R
671305,0.31009683,0.0,R
521230,0.25741935,0.0,R
612434,0.28887352,0.0,R
695549,0.29780564,0.0,R
605347,0.30999553,0.0,R
676969,0.32900432,0.0,R
700363,0.30914328,0.0,R
687424,0.31666666,0.0,R
676475,0.6755555,0.0,L
689958,0.18095239,0.0,R
622569,0.6333333,0.0,R
680684,0.3248509,0.0,R
669203,0.27403346,0.0,R
622786,0.25485486,0.0,R
595897,0.29303482,0.0,R
673965,0.3976744,0.0,R
664062,0.29568696,0.0,R
674072,0.32691795,0.0,L
691441,0.2961039,0.0,R
608717,0.30045888,0.0,R
801216,0.0,0.0,R
476594,0.67671233,0.0,R
655889,0.28041628,0.0,R
656257,0.25889146,0.0,R
679885,0.28807133,0.0,R
680880,0.33412817,0.0,R
689225,0.28792807,0.0,R
682515,1.3,0.0,R
