batter,avg_pa,babip,rolling_xBA,momentum,matchup_score,l10_hit_rate,season_hit_rate,avg_vs_L,avg_vs_R,streak_len,stand
692596,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
681862,3.8,0.0,0.25,88.0,-2.5695653,0.6,0.6,0.0,0.0,0,R
641569,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
677319,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
663944,3.8,1.0,0.25,88.0,4.9405465,0.6,0.6,0.0,0.5,0,R
682947,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
547982,3.8,1.0,0.25,88.0,0.0,0.6,0.6,0.0,1.0,0,L
695299,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,L
680874,3.8,0.0,0.25,88.0,2.042361,0.6,0.6,0.0,0.0,0,R
669015,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
680881,12.0,0.8,0.25,88.0,5.020015,1.0,1.0,1.0,0.75,1,R
686808,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
656967,3.8,1.0,0.25,88.0,0.0,0.6,0.6,0.0,0.5,0,L
679736,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,L
642002,4.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,L
688002,3.8,0.0,0.25,88.0,-7.2953615,0.6,0.6,0.0,0.0,0,R
682210,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
687285,3.0,0.0,0.25,88.0,-8.315163,0.0,0.0,0.0,0.0,0,R
640460,3.8,0.0,0.25,88.0,-3.8920686,0.6,0.6,0.0,0.0,0,R
691968,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
694191,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
613546,3.8,0.3,0.25,88.0,0.0,0.6,0.6,0.26,0.26,0,R
683649,3.8,0.0,0.25,88.0,2.4709973,0.6,0.6,0.0,0.0,0,L
664926,5.0,0.0,0.25,88.0,1.8637238,0.0,0.0,0.0,0.0,0,R
640461,9.0,0.5,0.25,88.0,0.0,1.0,1.0,0.0,0.3333333333333333,1,R
680710,1.5,1.0,0.25,88.0,-9.382728,1.0,1.0,0.0,1.0,2,L
664850,7.0,1.0,0.25,88.0,0.0,1.0,1.0,0.0,1.0,1,L
677068,3.8,0.0,0.25,88.0,0.0,0.6,0.6,0.0,0.0,0,R
666143,3.8,0.0,0.25,88.0,-3.9267092,0.6,0.6,0.0,0.0,0,L
641924,6.0,0.0,0.25,88.0,0.0,0.0,0.0,0.0,0.0,0,R
